r,g(r)
7.125000000000000000e+01,4.213547369763271178e+01
7.175000000000000000e+01,5.218515834808150800e+01
7.225000000000000000e+01,5.341666837317422534e+01
7.275000000000000000e+01,4.835467528304092610e+01
7.325000000000000000e+01,4.959517881242776838e+01
7.375000000000000000e+01,5.430907310580354874e+01
7.425000000000000000e+01,4.873018013618258237e+01
7.475000000000000000e+01,4.853619299254411601e+01
7.525000000000000000e+01,5.104125796321734754e+01
7.575000000000000000e+01,4.748506543822555415e+01
7.625000000000000000e+01,5.321513154047977423e+01
7.675000000000000000e+01,4.863336640096395058e+01
7.725000000000000000e+01,5.205967500781381574e+01
7.775000000000000000e+01,5.539410820341837649e+01
7.825000000000000000e+01,5.156934666809809187e+01
7.875000000000000000e+01,5.276435797260431571e+01
7.925000000000000000e+01,4.480251665367668323e+01
7.975000000000000000e+01,5.225018348961005188e+01
8.025000000000000000e+01,4.883324504852448911e+01
8.075000000000000000e+01,4.666825583473418959e+01
8.125000000000000000e+01,4.532417117299079479e+01
8.175000000000000000e+01,4.934384708950315002e+01
8.225000000000000000e+01,4.949857729252131122e+01
8.275000000000000000e+01,4.722875628083842514e+01
8.325000000000000000e+01,4.666314923410456572e+01
8.375000000000000000e+01,5.355021431123661557e+01
8.425000000000000000e+01,5.040520028701372013e+01
8.475000000000000000e+01,5.123034587302088738e+01
8.525000000000000000e+01,4.852883520083108237e+01
8.575000000000000000e+01,4.848402450570787892e+01
8.625000000000000000e+01,4.860814357119978979e+01
8.675000000000000000e+01,4.449648425021506881e+01
8.725000000000000000e+01,4.883834183262371909e+01
8.775000000000000000e+01,5.258257056427289911e+01
8.825000000000000000e+01,5.100750992957668473e+01
8.875000000000000000e+01,5.124264146015676857e+01
8.925000000000000000e+01,5.035041877136967514e+01
8.975000000000000000e+01,5.311037382576402166e+01
9.025000000000000000e+01,4.799024445017278850e+01
9.075000000000000000e+01,5.163714465984529056e+01
9.125000000000000000e+01,5.030824690613818007e+01
9.175000000000000000e+01,4.734141510859825530e+01
9.225000000000000000e+01,5.012115989693945295e+01
9.275000000000000000e+01,5.135830772032835512e+01
9.325000000000000000e+01,5.036975515028463235e+01
9.375000000000000000e+01,4.621226120704853457e+01
9.425000000000000000e+01,4.701324472618928496e+01
9.475000000000000000e+01,5.034762937846852537e+01
9.525000000000000000e+01,4.757500590591287448e+01
9.575000000000000000e+01,4.694056003568374535e+01
9.625000000000000000e+01,5.071471996768253376e+01
9.675000000000000000e+01,4.719942190459299525e+01
9.725000000000000000e+01,5.035023990247163539e+01
9.775000000000000000e+01,4.757117249671149040e+01
9.825000000000000000e+01,5.157281303812583673e+01
9.875000000000000000e+01,4.961563783652518822e+01
