q,I_avg,P_avg,S_eff
4.100000000000000311e-01,6.952233950317019597e+06,7.085446541617964976e+04,9.811991254865177758e-01
4.200000000000000400e-01,6.658401596818318591e+06,6.727082628924735764e+04,9.897903688872340400e-01
4.299999999999999933e-01,6.527675059597969055e+06,6.420778629741516488e+04,1.016648515082158477e+00
4.400000000000000022e-01,6.238168531966699287e+06,6.157260019832166290e+04,1.013140343573916358e+00
4.500000000000000111e-01,5.961764536729061976e+06,5.923802420604674990e+04,1.006408403493057824e+00
4.600000000000000200e-01,5.787756988258103840e+06,5.707140435629156127e+04,1.014125559645538965e+00
4.700000000000000289e-01,5.543879004049864598e+06,5.496113747274469642e+04,1.008690732938175127e+00
4.800000000000000377e-01,5.287490178156708367e+06,5.283513217458751751e+04,1.000752711412704610e+00
4.899999999999999911e-01,5.188969963537791744e+06,5.066835624453824130e+04,1.024104657844931099e+00
5.000000000000000000e-01,5.050280658666746691e+06,4.847929242290518596e+04,1.041739762744685383e+00
5.100000000000000089e-01,4.741349462560283020e+06,4.631753228091796336e+04,1.023661932981183131e+00
5.200000000000000178e-01,4.430945071503316984e+06,4.424635637235062313e+04,1.001425978269297135e+00
5.300000000000000266e-01,4.182938739127429668e+06,4.232473849256483663e+04,9.882964167309017389e-01
5.400000000000000355e-01,4.011911298137000296e+06,4.059277665335711936e+04,9.883313310633569104e-01
5.500000000000000444e-01,3.907395144388668239e+06,3.906331163815043692e+04,1.000272373367491197e+00
5.600000000000000533e-01,3.789114065250018146e+06,3.772080788526117976e+04,1.004515618216797579e+00
5.700000000000000622e-01,3.698061197727226652e+06,3.652685461258074065e+04,1.012422568805999568e+00
5.800000000000000711e-01,3.683936138657711446e+06,3.543026990742051566e+04,1.039770836712183177e+00
5.899999999999999689e-01,3.600793151919718832e+06,3.437901403444160678e+04,1.047381157677288233e+00
5.999999999999999778e-01,3.387297741807964630e+06,3.333104047996115696e+04,1.016259226544226957e+00
6.099999999999999867e-01,3.178403883652335964e+06,3.226177304521503538e+04,9.851919419300939618e-01
6.199999999999999956e-01,3.029678294098265469e+06,3.116690261664215359e+04,9.720819329927612440e-01
6.300000000000000044e-01,2.907927270077578258e+06,3.006038033466869820e+04,9.673621017774880482e-01
6.400000000000000133e-01,2.796156824407509528e+06,2.896856682867962081e+04,9.652382325104337246e-01
6.500000000000000222e-01,2.696266851959154010e+06,2.792225293617397983e+04,9.656337037424629344e-01
6.600000000000000311e-01,2.637846437089906074e+06,2.694856368580416165e+04,9.788449090811687237e-01
6.700000000000000400e-01,2.635407136640152894e+06,2.606457611406480282e+04,1.011106846743634824e+00
6.800000000000000488e-01,2.603065226766553707e+06,2.527391114275188738e+04,1.029941591573992232e+00
6.900000000000000577e-01,2.504690070312606171e+06,2.456676552892805921e+04,1.019544093976580967e+00
7.000000000000000666e-01,2.419764350651872344e+06,2.392303023722425132e+04,1.011479033658001070e+00
7.100000000000000755e-01,2.360102202349515166e+06,2.331748131761281911e+04,1.012160005706455257e+00
7.199999999999999734e-01,2.282590541081849951e+06,2.272566035974583065e+04,1.004411095188689540e+00
7.299999999999999822e-01,2.210912168486799113e+06,2.212903858491808205e+04,9.990999654154127940e-01
7.399999999999999911e-01,2.158989008935531601e+06,2.151835429448949071e+04,1.003324408265001244e+00
7.500000000000000000e-01,2.070260562221592292e+06,2.089453186888846176e+04,9.908145227719452608e-01
7.600000000000000089e-01,1.987179043281349819e+06,2.026719491874303640e+04,9.804904187523321157e-01
7.700000000000000178e-01,1.967153940641201567e+06,1.965133273796802314e+04,1.001028259442422019e+00
7.800000000000000266e-01,1.914501659712281777e+06,1.906304987279065608e+04,1.004299769705222056e+00
7.900000000000000355e-01,1.842944139803898055e+06,1.851545525859260670e+04,9.953544830871112747e-01
8.000000000000000444e-01,1.855998296219440876e+06,1.801562267211771541e+04,1.030216013067324354e+00
8.100000000000000533e-01,1.840575179546447936e+06,1.756322815618247114e+04,1.047970887344273905e+00
8.200000000000000622e-01,1.707157123957024887e+06,1.715103376862292498e+04,9.953668956562811143e-01
8.300000000000000711e-01,1.610977799861615524e+06,1.676694891846006067e+04,9.608055751204458428e-01
8.400000000000000799e-01,1.618440991617758293e+06,1.639706051114526417e+04,9.870311758120828838e-01
8.499999999999999778e-01,1.606440402294465574e+06,1.602885053125727609e+04,1.002218093656687792e+00
8.599999999999999867e-01,1.544347958117596572e+06,1.565384028475636478e+04,9.865617190571922546e-01
8.699999999999999956e-01,1.497816338139891624e+06,1.526909404537847695e+04,9.809464357796906508e-01
8.800000000000000044e-01,1.470258181865886785e+06,1.487732327394743697e+04,9.882545097615396124e-01
8.900000000000000133e-01,1.452465043824995402e+06,1.448567623736226233e+04,1.002690533755487889e+00
9.000000000000000222e-01,1.436341021841909271e+06,1.410359522223294152e+04,1.018421898253048186e+00
9.100000000000000311e-01,1.380927657932800939e+06,1.374030993585427677e+04,1.005019293145183568e+00
9.200000000000000400e-01,1.333596601266454905e+06,1.340257674131162639e+04,9.950300058016635640e-01
9.300000000000000488e-01,1.347085645220945124e+06,1.309317058927586550e+04,1.028846020171992226e+00
9.400000000000000577e-01,1.333747855502578430e+06,1.281042426388629610e+04,1.041142610133943824e+00
9.500000000000000666e-01,1.251225992468545679e+06,1.254884482711782221e+04,9.970845999821986716e-01
9.600000000000000755e-01,1.185473085354047129e+06,1.230058480714900725e+04,9.637534344424495414e-01
9.699999999999999734e-01,1.178663983452588087e+06,1.205736308267557979e+04,9.775470601413104310e-01
