r_nm,g(r),H0(r)=g-1,H2(r)=g*C2,count_pairs
1.175000000000000000e+01,8.033397987662439732e+00,7.033397987662439732e+00,-5.013189238910836787e-02,4.460000000000000000e+02
1.225000000000000000e+01,6.545835331247257471e+00,5.545835331247257471e+00,-3.367667506853927462e-01,3.950000000000000000e+02
1.275000000000000000e+01,4.971679787088233660e+00,3.971679787088233660e+00,3.953442913669345631e-03,3.250000000000000000e+02
1.325000000000000000e+01,3.838642717862552178e+00,2.838642717862552178e+00,-1.640676645573424519e-01,2.710000000000000000e+02
1.375000000000000000e+01,2.854266334788535975e+00,1.854266334788535975e+00,-5.373652251631861471e-02,2.170000000000000000e+02
1.425000000000000000e+01,1.873707778782701228e+00,8.737077787827012276e-01,8.748472253292016720e-02,1.530000000000000000e+02
1.475000000000000000e+01,1.211607581710780313e+00,2.116075817107803125e-01,-1.937577985365832034e-02,1.060000000000000000e+02
1.525000000000000000e+01,9.195999130544880718e-01,-8.040008694551192825e-02,-6.524284951808555222e-02,8.600000000000000000e+01
1.575000000000000000e+01,4.511194532083201425e-01,-5.488805467916798575e-01,-3.973024336005900881e-02,4.500000000000000000e+01
1.625000000000000000e+01,3.578631856504155273e-01,-6.421368143495844727e-01,-1.161895981400595627e-02,3.800000000000000000e+01
1.675000000000000000e+01,1.772721575984577136e-01,-8.227278424015422864e-01,3.996384458883076723e-02,2.000000000000000000e+01
1.725000000000000000e+01,1.086438909995084690e-01,-8.913561090004915588e-01,-1.473292072787456969e-02,1.300000000000000000e+01
1.775000000000000000e+01,7.103721919396242812e-02,-9.289627808060375580e-01,-6.159536918259328996e-03,9.000000000000000000e+00
1.825000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e+01,2.829421210522583760e-02,-9.717057878947741312e-01,-5.024257704668765902e-03,4.000000000000000000e+00
1.925000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.975000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.025000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.075000000000000000e+01,5.775691068801543787e-03,-9.942243089311985083e-01,-9.319019304663573856e-06,1.000000000000000000e+00
2.125000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.175000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.225000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.275000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.325000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.375000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.425000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.475000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.525000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.575000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.625000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.675000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.725000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.775000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.825000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.875000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.925000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.975000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.025000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.075000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.175000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.225000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.275000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.325000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.375000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
