q,Iq,Sq
8.956422273110019316e-02,1.774988455125086546e+09,1.092006687603336079e+00
9.774830715456300778e-02,1.387544646862127542e+09,9.689146305451366015e-01
1.066802263250705290e-01,1.427755395334419966e+09,1.127869310637961142e+00
1.164283149249097510e-01,1.018413703448790550e+09,1.006800592966962116e+00
1.270671518351318141e-01,8.481639715355060101e+08,1.020252530424129223e+00
1.386781307099207439e-01,6.731892064340722561e+08,1.075368146953834092e+00
1.513500826881731265e-01,4.922113670469081998e+08,9.134735892723767625e-01
1.651799560064169392e-01,4.239584580721942782e+08,9.956633726130936779e-01
1.802735577125251787e-01,3.677542621258904934e+08,9.308982658884092931e-01
1.967463631547924363e-01,3.006988331259579659e+08,1.061092440632888323e+00
2.147243994394636979e-01,2.524877367830199301e+08,9.962107647463728233e-01
2.343452096157095932e-01,2.264120844609483182e+08,9.455922775817959813e-01
2.557589049646570856e-01,1.801668842778825760e+08,8.559039751382820915e-01
2.791293134431346856e-01,1.477507848782591224e+08,1.084206773639799337e+00
3.046352330684338194e-01,1.334836138564263582e+08,8.604757975574841566e-01
3.324717998332522573e-01,1.072476493387521803e+08,9.194985753866689038e-01
3.628519806162107675e-01,1.114836753279270828e+08,9.667398336003991677e-01
3.960082025096275937e-01,7.542108974255388975e+07,1.020282189050218058e+00
4.321941310299134420e-01,7.265112094064894319e+07,8.725744305173931403e-01
4.716866108149888603e-01,5.354906246803345531e+07,1.038786278903979676e+00
5.147877836562563258e-01,4.872407144395678490e+07,9.330513379435114718e-01
5.618274000693757042e-01,3.845730468928468227e+07,9.282618228986857511e-01
6.131653420887814843e-01,3.200941148099683598e+07,1.026918125534118209e+00
6.691943765868787475e-01,2.783121045720545575e+07,9.610887229032639700e-01
7.303431601824943442e-01,2.452924526375921071e+07,1.134883635610404617e+00
7.970795187279996474e-01,2.013774641274822876e+07,9.288886553487252229e-01
8.699140264651818999e-01,1.592455625060039386e+07,1.096024427964308989e+00
9.494039122326315416e-01,1.308108325684238598e+07,9.500202468942614553e-01
1.036157322609514653e+00,1.045332494167606160e+07,1.006150642394502359e+00
1.130837974611432095e+00,9.783263335804145783e+06,9.514544716289032866e-01
1.234170233534324090e+00,6.817147553539590910e+06,1.005511291991814771e+00
1.346944654795086072e+00,5.353723252195346169e+06,9.162606725800692686e-01
1.470024032167355221e+00,5.007290689110836014e+06,9.930793424368875577e-01
1.604349998685224987e+00,3.788669635679208674e+06,9.967294571480230791e-01
1.750950230715856204e+00,3.159623286139044911e+06,1.026683780146494751e+00
1.910946310316559149e+00,2.546088311550871935e+06,9.817490477278640881e-01
2.085562306028259982e+00,1.838250435523184016e+06,9.531819728445384277e-01
2.276134137753654585e+00,1.701714824077244382e+06,1.052306000960530730e+00
2.484119797367193350e+00,1.066348701488064136e+06,9.929108183202817184e-01
2.711110503250792725e+00,8.273105374620694201e+05,1.002609145841361293e+00
2.958842874094411712e+00,6.123755530098351883e+05,8.817514116947572367e-01
3.229212215098488770e+00,4.054983017998709111e+05,9.806806360495563535e-01
3.524287018225951140e+00,2.874378580042984104e+05,9.923390277779222668e-01
3.846324787439572734e+00,1.827671759030626563e+05,1.000106647867366583e+00
4.197789309997555840e+00,1.221159286629847920e+05,9.225205350209462196e-01
4.581369505943369447e+00,6.174066109174278972e+04,9.708871413810273854e-01
5.000000000000000888e+00,2.912965342564564708e+04,9.323024980191199074e-01
