q_nm^-1,I(q)_perVol,I_self_perVol,I_pair_perVol,I_pair0_perVol,I_pair2_perVol,Seff,Snn(q),O2(q),<|F|^2>,A0(q),A2(q),I0(q),I2(q)
4.397603609302721379e-04,1.233697157292874778e+02,1.233675691224683106e+02,2.146606819172295656e-03,2.146606819146605703e-03,2.568996458459384531e-14,1.000017400090108310e+00,6.808146309969109211e+01,3.987332108342506848e-05,3.855236535077135079e+06,9.999999999797309913e-01,2.013404881898031920e-05,1.668179131586314761e+05,9.915681481120919294e-02
4.605922041145103524e-04,1.233694734026538811e+02,1.233673280289958711e+02,2.145373658015341332e-03,2.145373657984669252e-03,3.067196118052006811e-14,1.000017390128264072e+00,6.804292681365618023e+01,4.339695555877218707e-05,3.855229000906120986e+06,9.999999999756087332e-01,2.208677485666394452e-05,1.667220812772117788e+05,1.079193748799671670e-01
4.824108704165368721e-04,1.233692075748542720e+02,1.233670635534223976e+02,2.144021431868915490e-03,2.144021431832229124e-03,3.668637847958457464e-14,1.000017379204547030e+00,6.800066974672377285e+01,4.731745253817002420e-05,3.855220736044450197e+06,9.999999999706480347e-01,2.422888946868389666e-05,1.666169965727921226e+05,1.176688510307173363e-01
5.052631065335679277e-04,1.233689159668279558e+02,1.233667734281264501e+02,2.142538701500564489e-03,2.142538701456623510e-03,4.394076458420912008e-14,1.000017367226538889e+00,6.795433442288440062e+01,5.166338984963706599e-05,3.855211669628951699e+06,9.999999999646784765e-01,2.657876103858061300e-05,1.665017700754671532e+05,1.284763104914592446e-01
5.291978735958442325e-04,1.233685960785219464e+02,1.233664551655817547e+02,2.140912940197233459e-03,2.140912940144548606e-03,5.268486014077518040e-14,1.000017354093033717e+00,6.790352938236088676e+01,5.646767097687691072e-05,3.855201723924430087e+06,9.999999999574947784e-01,2.915653950157451481e-05,1.663754283046343189e+05,1.404235775133861885e-01
5.542664520663106911e-04,1.233682451674671228e+02,1.233661060370343847e+02,2.139130432736355801e-03,2.139130432673136840e-03,6.321910664832710617e-14,1.000017339693222596e+00,6.784782602445477551e+01,6.176765733953693525e-05,3.855190813657324761e+06,9.999999999488501379e-01,3.198432914333079947e-05,1.662369054177972139e+05,1.536035623249014659e-01
5.805225516094895130e-04,1.233678602252779228e+02,1.233657230491124750e+02,2.137176165453670042e-03,2.137176165377765048e-03,7.590486784414644654e-14,1.000017323905803224e+00,6.778675517216605328e+01,6.760535695717155840e-05,3.855178845284765121e+06,9.999999999384474592e-01,3.508637816426693907e-05,1.660850346674755565e+05,1.681207303004048637e-01
6.080224261649426910e-04,1.233674379518753454e+02,1.233653029181686236e+02,2.135033706723749123e-03,2.135033706632572491e-03,9.117670649995695253e-14,1.000017306598016020e+00,6.771980333720991041e+01,7.402766659331930818e-05,3.855165716192769818e+06,9.999999999259286954e-01,3.848928663085525095e-05,1.659185391130639473e+05,1.840917041232115192e-01
6.368249944718586218e-04,1.233669747272124511e+02,1.233648420421353080e+02,2.132685077138685679e-03,2.132685077029128351e-03,1.095571267163228626e-13,1.000017287624592521e+00,6.764640866310085698e+01,8.108666540510496058e-05,3.855151313816728536e+06,9.999999999108640791e-01,4.222223460270135040e-05,1.657360215321096475e+05,2.016459940322037347e-01
6.669919663030121322e-04,1.233664665802607345e+02,1.233643364696520877e+02,2.130110608643447437e-03,2.130110608511773251e-03,1.316742726839050662e-13,1.000017266826617846e+00,6.756595652313305322e+01,8.883995889720453995e-05,3.855135514676627703e+06,9.999999998927359135e-01,4.631723238563442788e-05,1.655359534733878390e+05,2.209268531651704670e-01
6.985879746785249268e-04,1.233659091549926643e+02,1.233637818662007959e+02,2.127288791865701231e-03,2.127288791707418122e-03,1.582831714778450833e-13,1.000017244030295460e+00,6.747777474943774223e+01,9.735107261497475317e-05,3.855118183318775147e+06,9.999999998709203641e-01,5.080939506691988688e-05,1.653166633925406495e+05,2.420922565933012471e-01
7.316807143427192690e-04,1.233652976730692927e+02,1.233631734769584227e+02,2.124196110865105361e-03,2.124196110674814002e-03,1.902912225731882872e-13,1.000017219045611361e+00,6.738112846889904972e+01,1.066898955228484842e-04,3.855099171154950745e+06,9.999999998446679195e-01,5.573724368432455531e-05,1.650763238100534654e+05,2.653160039128001912e-01
7.663410868007461971e-04,1.233646268929146999e+02,1.233625060860501748e+02,2.120806864524208118e-03,2.120806864295419342e-03,2.287887739413735828e-13,1.000017191664889227e+00,6.727521452162024218e+01,1.169331734083088576e-04,3.855078315189068206e+06,9.999999998130765233e-01,6.114303560977243522e-05,1.648129374311191496e+05,2.907889462399082525e-01
8.026433522257173624e-04,1.233638910648280245e+02,1.233617739718542055e+02,2.117092973814712568e-03,2.117092973539626624e-03,2.750857878823453902e-13,1.000017161661231446e+00,6.715915543799518161e+01,1.281650529315372087e-04,3.855055436620444059e+06,9.999999997750597114e-01,6.707312699285744595e-05,1.645243221678434638e+05,3.187203391513837580e-01
8.406652885618325121e-04,1.233630838817492616e+02,1.233609708579750617e+02,2.113023774201857469e-03,2.113023773871101647e-03,3.307557937322249484e-13,1.000017128786840015e+00,6.703199295134602664e+01,1.404776771040142861e-04,3.855030339311720803e+06,9.999999997293113063e-01,7.357837036612462946e-05,1.642080950064986246e+05,3.493393235182975509e-01
8.804883581643465056e-04,1.233621984252605017e+02,1.233600898594680046e+02,2.108565792501344242e-03,2.108565792103655849e-03,3.976885549712028244e-13,1.000017092771210647e+00,6.689268102470325061e+01,1.539718330187429406e-04,3.855002808108375408e+06,9.999999996742581221e-01,8.071455083175675335e-05,1.638616546665477799e+05,3.828965362789507054e-01
9.221978823334321543e-04,1.233612271063605874e+02,1.233591234238530063e+02,2.103682507582631690e-03,2.103682507104478582e-03,4.781531512321093908e-13,1.000017053319196769e+00,6.674007837278452371e+01,1.687576525576909724e-04,3.854972606995406561e+06,9.999999996080080056e-01,8.854286457258757446e-05,1.634821630043322220e+05,4.196658529553305428e-01
9.658832241158708896e-04,1.233601616005097696e+02,1.233580632664153427e+02,2.098334094428067672e-03,2.098334093853194190e-03,5.748734987318139347e-13,1.000017010108936955e+00,6.657294046384413377e+01,1.849553665503719986e-04,3.854939477075479459e+06,9.999999995282838894e-01,9.713044379534956356e-05,1.630665251233024173e+05,4.599462630916422157e-01
