q_nm^-1,Iq_mean,Sq_mean
2.354084918513532187e+00,1.193348534759094473e+06,1.085285354823722903e+00
2.506596611838630473e+00,1.108501552782438695e+06,1.034666513198265525e+00
2.668988924345289782e+00,9.740285684795323759e+05,1.074565880720761424e+00
2.841901981608688121e+00,8.648503910443268251e+05,1.018517829844098443e+00
3.026017380365323195e+00,6.334663721530111507e+05,1.068617211564290015e+00
3.222060875262739987e+00,4.308155717187759583e+05,1.018637460210779722e+00
3.430805239672992446e+00,3.966039935049436754e+05,9.323286898069389483e-01
3.653073311846676940e+00,2.415408230202843843e+05,9.169751924499838225e-01
3.889741238415044045e+00,1.807127814591581700e+05,1.154579119385737318e+00
4.141741928025567177e+00,1.377051357114812708e+05,9.799645674858608047e-01
4.410068728724670706e+00,8.874732685225017485e+04,9.158578498682710123e-01
4.695779343583272869e+00,4.876229292469859502e+04,1.043764690378823357e+00
5.000000000000000888e+00,3.217567526232516320e+04,8.466135650913291233e-01
